Bay Type,A,B,C,Total Counts,
,,,,,
,,,,,
BOM,,,,,
"96"" Bays",103,91,64,258,
"144"" Tunnels",,,,0,
Pallet positions,1236,910,512,"2,658",
Percentage of Each Configuration,47%,#DIV/0!,#DIV/0!,,
Rows,9,7,4,20,
,,,,QTY,Notes
"Structural | Frames | 22' x 44""| C4",112,98,68,278,
"Strctural| Beams | 92"" | C3",1030,728,384,"2,142",
"Flanged| Wiredecks | 44"" x 46""",1030,728,384,"2,142",
"Structural | Pallet Supports | 44""",2060,1456,768,"4,284",
"Structural | Rowspacers | 8"" ",,,,168,
"Structural | Rowspacers | 18"" ",,,,186,
"Anchors (1/2"" x4""|Screw) ",,,,556,
,,,,QTY,
"End of Aisle Guard | Right | 44""",,,,20,
"End of Aisle Guard | Left | 44""",,,,20,
"Anchors (3/4"" x5 | Screw)",,,,160,
,,,,QTY,
"Step | Wiredecks | 42"" x 46""",,,,#REF!,
"Teardrop | Rowspacers | 12"" ",,,,#REF!,Extra | Buyback
"Teardrop | Rowspacers | 18"" ",,,,186,
,,,,,
,,,,,
"Hardware | 1/2"" x 2"" Bolts",,,,8568,
"Hardware | 1/2"" Hex Nut",,,,8568,
Shims,,,,556,
